age,income,score,rating
46.01158528464176,,24.451503854390328,
50.022602768465354,,25.619435540180937,
51.42392784443342,102.13500854055533,27.309232039440815,73.74564438462788
49.81776304871785,,17.115727881772138,
54.349863041635416,104.98825903361153,26.993221632831546,73.06230054275856
51.02149390356729,93.70271094530786,21.13618672890984,
48.965665944484705,,25.95651782699263,
46.03684954203498,,25.452992562260413,
54.006819929316904,99.0900196193629,21.414778052020978,
48.386805546982586,,17.459467370016707,
49.291698474712305,,24.089206557155833,
49.76021039425838,,25.387155485043326,
51.03527027577521,99.30204602463925,18.442189891383514,
49.70965343332005,,29.079857384898958,79.00638413761851
49.46026073993886,,25.955729829146343,
52.81257679220157,103.6240126866658,24.322883041014666,
45.73225711617704,,28.421408736116483,72.6778563246466
46.06791469890979,,22.856915113888476,
45.306369588320514,,29.4243971984152,68.4389837064779
54.870859857371855,99.12211658958303,23.199019492216134,
52.92195803054224,97.9123891411192,27.10652774565052,77.60618356098787
51.56745014899847,102.18164178275498,25.298539307133353,
48.5307539956078,,28.06479053105117,76.83835941881698
54.543513412137294,103.32557590751298,24.48343421226383,
49.998088575521905,,25.26941255728166,
54.246391071387684,106.39625337898947,25.705569581800514,
51.48147009001775,97.14644048528667,27.58300879376642,79.1411236666473
47.88097338416637,,23.391787426818194,
48.41767533655967,,33.22554899517344,71.77864194568487
49.524764573722436,,21.89650223729203,
53.526422562588984,94.66915505749397,20.667697578892366,
48.952199498114254,,30.690546037816205,68.24846786673916
48.3592741474131,,22.42950061893498,
47.12831439561806,,28.623010385776638,76.48404133999519
55.212677884976614,101.64527360783876,25.282645240725223,
47.38472426685261,,28.32781277098273,69.64450204618049
51.47449019197659,100.07383297139013,26.153375885803015,69.23081262577102
48.390676897538796,,25.293283288188785,
53.16417337214802,101.84996577800231,26.904814396439587,75.91218051436913
43.907959787111466,,22.905354387846504,
54.605859844550096,101.09038813717811,29.673110137659428,77.59338903581612
44.30553032378471,,25.67708934026616,
51.79473917300921,102.86030213595124,22.21079850986867,
48.2821759484875,,26.700189016278802,76.32895973212062
42.736030162677594,,30.68960277568218,75.85599774078366
46.934503990456754,,20.646010587404458,
50.84058069842654,99.51440050811283,28.008298173607265,75.5249521366373
49.332554299159476,,21.498825492035873,
49.1196302467667,,20.616106438941898,
54.37844587744337,103.00976548948489,26.754002349898396,75.4113859569353
47.6438257628568,,27.10435325351078,77.17389871396661
51.852373946669836,105.56540404738004,24.732616320177744,
45.949087470320094,,37.73196673058993,71.77122327367235
46.021631352809486,,25.589960860515003,
50.77409173296508,104.16803025107731,25.400815553834867,
50.92292808079481,90.41962956503413,14.278504228810384,
53.28446455094419,100.62923772458288,29.193809101673146,73.49101638103124
49.91068522082623,,28.325439213057283,74.32419682734702
50.46603796343077,,23.91833296945792,
50.836037246175955,109.43984028441226,29.27377730647672,78.5690880980138
49.76088847327719,,26.5708264875874,78.92289217862748
53.36197782157401,105.73238109609206,25.59785225734302,
43.396594577817275,,22.91088750317961,
45.826516372364196,,23.790279210254326,
46.43250691619866,,20.78853153905512,
51.208423569737725,109.06209543944624,24.63436057000604,
55.722125332759525,98.74721218611249,21.505928584826997,
55.578333409483626,98.76493678858448,26.41109336025637,77.16826478174404
45.92026695303572,,22.639048485533525,
50.794048889774416,99.42357251016227,22.514062510257613,
54.12733760752359,95.92589458983781,27.33991721394812,75.91092065420875
45.10361941855064,,14.683221987111185,
50.66568301281856,99.55542878208901,22.125665795158696,
52.86918077280481,100.90179308586369,28.86299918938537,75.12627461822967
47.54017643335219,,25.000829278419843,
50.7734719208198,102.6839874880772,25.15669294280739,
52.62356806027435,97.6167828059137,25.820490831029478,
46.189556270623946,,23.60227198291697,
49.496098271388604,,26.86427836964329,75.1369960839609
49.48247802902017,,22.82486362869675,
43.818742542801914,,27.170371022773846,74.78791749018252
51.164319625418685,103.25399830082553,23.517992377215478,
50.944737115409644,96.74030697376423,25.684150783724373,
51.269044280100424,98.49565031156101,22.97421741761771,
53.2867872419955,102.70607765659473,25.403894608746363,
52.860025616860916,102.56140023937324,27.24872484024565,76.33760887664268
52.90974635921794,103.79196717240549,25.49008976117806,
47.98162547531773,,26.221643846607893,79.19754750263425
50.96463779118882,96.38632460112002,22.560698736965165,
52.42027416556628,99.49354873557513,23.92551027651688,
47.65089076667253,,29.325637473118487,72.27165069154398
49.047745718554864,,22.505363194870732,
48.805504419615744,,22.39313295878961,
51.06398439167846,89.45332941223933,26.34800417883837,74.55247293987749
52.39527708390276,92.31919526786879,24.775656983024366,
50.97261906357002,107.35533263688684,23.336741940251805,
47.015865394509966,,27.674620390746462,79.37941186045053
46.43183206060947,,21.08850667570552,
54.13422905119498,101.74902894092465,33.954140732966906,77.48995096735764
49.57309772373835,,33.03615528590872,78.12789752902636
52.83766386673983,106.91611441534869,25.874183669589907,
50.02861183622435,,27.37745836705059,72.68082722423097
53.0755484214728,97.55153930726532,26.465143377374787,74.31584687639729
54.551151739762034,104.41600570929995,31.985374200031963,76.44551394687836
48.14667274310786,,23.153889709931512,
43.35756674295329,,27.42230351684308,69.16382803046511
45.989557735595696,,28.24658770939252,70.69264752391702
52.45682412429329,98.50312980793387,15.909607416508209,
51.49751916070863,97.97098523032857,28.626532088042,78.02614465899761
46.028462611002126,,16.593925391995626,
47.66650386429949,,23.21459550950485,
54.78530680140766,103.84155459278377,29.467495918014585,76.56304383503945
48.748989272598195,,22.64653008794466,
53.08414721126665,104.26854272198908,27.969756393969043,74.3321362239342
52.85740949474309,101.82569494740007,21.034521557751876,
45.36602959354282,,21.320779763309755,
48.95053555441969,,24.996620404308157,
56.459577205838364,102.3697636757487,23.104011510859777,
54.46807735363401,102.16245960993723,33.02604232407441,79.74282662963006
48.970772916340074,,26.80654980189325,81.43787294131062
48.482127481909714,,21.333856963273327,
53.72079546904571,104.94579309358254,20.897113741089484,
43.188676746090536,,25.429790633219127,
50.12550605752241,,22.834793446845552,
54.465155253762916,105.43084692780532,25.357888720061965,
45.278054324183124,,29.324668786087123,68.3522187572965
52.83712455518,103.76666162836636,23.963708384098982,
50.47332975769924,,22.212885896115587,
48.25131634535279,,22.357754692678963,
47.58805947849504,,21.094353215648486,
50.8175592492202,107.64151907343914,29.740447499372383,77.04938854489498
50.15779783002011,,19.550178805252056,
54.40294889680419,98.05009853053836,21.204863672405274,
49.683044291305606,,20.745168676773055,
53.93524418375657,101.87122828397067,25.522014403790763,
45.73236062393111,,20.408349333409678,
55.56301410727915,109.55662013887294,26.969664582083407,82.14026677589665
49.94379643999872,,22.27627682314404,
49.19997899935307,,23.764960184889247,
52.3495950458522,101.50080701955726,24.458022473066833,
50.60810876029282,,31.77651488972097,73.33801288325509
48.59084921457538,,20.17141189188362,
49.28574517849054,,27.770879102260142,81.37281790168942
55.649313736766736,96.75364438405867,23.29880026592911,
45.25866486927489,,26.887126387925974,71.71512311345522
44.5072361042548,,24.049019777051168,
51.287941565674174,99.60647814543745,25.009600250582636,
49.967291021953265,,20.47880274225726,
51.27426700504248,95.86583991074896,25.565479885222597,
49.36960225200669,,22.105470240875555,
46.34382902234796,,21.3786108459332,
51.18986952971247,97.83099444898573,29.813345483602518,68.65643953250942
53.52717519496991,104.89082125670956,33.54861746547679,78.21276349405589
51.67286721975663,95.57019506402622,21.86136758431855,
49.53065534451524,,27.551214870940754,75.18875070763082
49.70135166007851,,29.343642379365058,81.75837583016134
46.71481319472113,,19.897214197382333,
44.36160625735648,,28.33706138099414,71.6875709794409
53.51148048899195,102.21171978860383,22.81525556233444,
50.53236866637021,,22.72687414577425,
53.66014465537375,100.0585119848698,30.613579487786893,71.28039670034636
48.17332238918355,,23.263941266741544,
49.16991762473488,,29.00230370994429,79.9826051578711
52.92410778160143,97.53404919396138,22.951817279349488,
50.51518634389007,,24.935353714071706,
52.43863317724863,102.63540908353158,23.989283121229878,
47.313412347091585,,27.04148472622704,77.59692581960803
