Feature_0,Feature_1,Feature_2,Feature_3
-5.819862216033139,0.6322354536302504,-5.19661104732171,-6.912073245569916
-3.73744649460939,3.2098813940620645,-2.4110404122204367,-3.8642747003186986
-2.6589176602024986,4.150220562971153,-2.058336342568014,-3.637853056955079
-4.107807829230133,2.728502456348415,-2.163703225821629,-4.508873611419085
-3.6672483532885187,3.166842838852964,-2.7324397387673485,-4.809652406687481
-1.5757543501496607,,0.12849425497403777,-1.7067527999321088
-5.52837559193873,1.3113765395137142,-4.081960107148056,-6.206158115456349
-3.9378407803858653,3.049990696406775,-2.176628086488734,-4.181169586969927
-2.7466576532904643,4.439702906614942,-0.9914718705308712,-2.9385905366672147
-3.084076532501139,4.3801804276796075,0.1771427807000565,-2.543931965249528
-4.368559476538602,2.376092523604095,-3.5578795537447423,-5.474244680307618
-5.450910752845639,1.4697952802508256,-3.0662453790804403,-5.170043944370514
-4.9890650728908295,2.0794162010504498,-3.312575738172786,-5.82846905074156
-2.526168372221469,4.230673309753291,-0.9026598966471688,-2.433552960961321
-5.088737750696866,1.5508767245486181,-3.6952087738898607,-5.643213166949508
-4.092509348461138,2.7129187315289798,-4.335359401096195,-5.956325678965855
-4.27440298102009,2.7419074000521624,-2.1670628387583175,-4.317121651829745
-3.8482615050115507,3.0620887141286595,-2.0266484883051716,-4.108829221401214
-3.9727115187397453,3.1700760289557066,-0.8505771432618923,-3.6038308615563945
-4.595830061116528,2.381751719787536,-2.5136403170050983,-4.665141813248523
-4.208837777213884,2.6315753372388606,-4.22938134062707,-5.691488826413478
-4.574846333220427,2.199563175924096,-2.8130546790824655,-5.015909308665284
-4.841838408641448,1.9885662400541093,-4.4198651439929595,-6.134042799151127
-5.208379778613931,1.8047643612004978,-2.9920693060670067,-5.574915151118279
-4.091938888929843,2.979339731136654,-1.69099729303358,-3.9844676883786456
-4.525630081935501,2.4515089170818243,-3.1864687906516753,-5.134247104086263
-1.7532062957910406,,-1.0118220399509328,-2.701583011993084
-4.787417227332013,1.8322477296623838,-3.419233598681883,-5.399618938032578
-2.6467592082500033,4.106305460196841,-2.0794617758508585,-3.896633634217073
-3.8556209216566133,2.7918321181983337,-1.96795503994474,-3.8749795854231284
-4.080197465620967,2.295849684761816,-4.365639529529726,-5.667091678581026
-5.408868542161139,1.1589479922380423,-5.192829182854754,-6.931703034452813
-3.6875915344413204,2.874686822842844,-3.0476216742164453,-4.924985020642985
-3.449692030189139,3.439561198449205,-2.745238745361218,-4.657078110706011
-5.263896662472697,1.517546416066772,-4.641636293822973,-6.639738781358989
-2.728724747997628,4.361874781330019,-0.05201016847590667,-2.5230009120288015
-5.0221562897334815,1.4993705006385565,-4.1846657861949765,-6.169504871324753
-4.21157217052888,2.751576347645315,-2.6541823671976417,-4.848600820698402
-3.7998109407501497,3.034220251196263,-1.6314602609593918,-3.991981345185124
-4.239430909119095,2.71113983129389,-3.5267307193908377,-5.435786421789569
-4.120653241658114,3.033774453135376,-1.9618908489638316,-4.1487952009687294
-2.8293606214047675,3.9482459319970338,-2.4368996864873433,-4.22692765072023
-4.193551982044831,2.51087357440482,-3.874777433928153,-5.494354755373721
-1.3178015975863864,,-0.6275575686835588,-1.9955131268973987
-1.8868996306394963,,-1.4841705636317806,-3.2588059214292184
-4.109804862419093,2.720789772263244,-3.922462073948058,-5.7652656679403
-2.208799024383172,,-1.449324004779598,-3.387213383589545
-3.1829497130366984,3.2343839830083354,-3.488318578113358,-4.868789942805873
-5.110081033117464,1.5903217010427264,-3.8511768088213074,-5.8154572123877335
-3.325258507462853,3.702042210337079,-2.7005150436517558,-4.348080183988408
-1.3929816987465515,,0.212798457303375,-1.9432378404037571
-4.36941263828892,2.8510082027117694,-1.737484076174194,-4.527703946509565
-1.9327417932418909,,-0.9450524240826215,-2.824579596094983
-3.809634868168877,3.4924013040890336,0.01819010838578894,-2.727546297569725
-5.074208272204256,1.828653160419958,-3.679343526344588,-5.7403521877283605
-2.596484489890281,,-0.6276830365088251,-2.8703363055906537
-4.168488064246981,2.976309968550633,-2.0749543970458806,-4.2794153718966195
-4.867011403166444,1.817661294310843,-4.2094052902976555,-5.855015142422583
-2.7701846742179734,3.925910974976997,-2.5207644957297566,-4.096631726597703
-4.703122573262737,2.468044773223826,-1.6360780057810471,-4.305088767533169
-2.7463213028900597,3.945824054045525,-2.9371730392690156,-4.478295487952171
-3.1511914922689064,3.564946669967462,-2.817925912238872,-4.616761028859681
-4.229950482303466,2.2209552776343857,-4.0824830635820115,-5.831710518772571
-4.600488246569066,2.034643224481988,-2.8311342811122087,-4.859392280782218
-3.152665161596494,3.7356943081787146,-0.6127707395860904,-2.922045236223666
-4.376524845801242,2.59341897518033,-3.0069647563620876,-4.883540215145558
-4.9259701545229735,2.0990065295701923,-3.5059681508847316,-5.76592937191445
-5.459667976330927,1.314882444863804,-3.924372305130789,-6.380198526414607
-4.644364061700335,2.2264365622497535,-3.4799210562482665,-5.519356384156665
-1.9978829332642518,,-0.9634090913666689,-2.646575536756631
-4.165350864246395,2.466416663441573,-3.367443459471078,-5.602595754786289
-5.587085321004355,1.6126118846001913,-2.442761841966264,-4.924998598128448
-5.774699786402353,0.9938321881341987,-4.852821241293529,-6.626376873455248
